SYMB,MM/DD/YY,NAV
IBMAR1999,5/1/2014,239.28
IBAPR1999,5/1/2014,238.4
IBMAY1999,5/1/2014,236.76
IBJUN1999,5/1/2014,235.88
IBJUL1999,5/1/2014,235.04
IBAUG1999,5/1/2014,234.16
IBSEP1999,5/1/2014,233.28
IBOCT1999,5/1/2014,232.44
IBNOV1999,5/1/2014,234.0
IBDEC1999,5/1/2014,233.08
IBJAN2014,5/1/2014,100
IBFEB2014,5/1/2014,100
IBMAR2014,5/1/2014,100
IBAPR2014,5/1/2014,100
IBMAY2014,5/1/2014,100
IBSEP1998,5/1/2014,247.96
IBOCT1998,5/1/2014,247.00
IBNOV1998,5/1/2014,242.88
IBDEC1998,5/1/2014,241.96
IBJAN2014,6/1/2014,100
IBFEB2014,6/1/2014,100
IBMAR2014,6/1/2014,100
IBAPR2014,6/1/2014,100
IBMAY2014,6/1/2014,100
IBJUN2014,6/1/2014,100
IBJAN2013,6/1/2014,101.68
IBFEB2013,6/1/2014,101.56
IBMAR2013,6/1/2014,101.48
IBAPR2013,6/1/2014,101.36
IBMAY2013,6/1/2014,101.00
IBJUN2013,6/1/2014,100.88
IBJUL2013,6/1/2014,100
IBAUG2013,6/1/2014,100
IBSEP2013,6/1/2014,100
IBOCT2013,6/1/2014,100
IBNOV2013,6/1/2014,100
IBDEC2013,6/1/2014,100
IBJAN2012,6/1/2014,104.36
IBFEB2012,6/1/2014,104.28
IBMAR2012,6/1/2014,104.16
IBAPR2012,6/1/2014,104.08
IBMAY2012,6/1/2014,103.00
IBJUN2012,6/1/2014,102.92
IBJUL2012,6/1/2014,102.8
IBAUG2012,6/1/2014,102.72
IBSEP2012,6/1/2014,102.60
IBOCT2012,6/1/2014,102.52
IBNOV2012,6/1/2014,101.88
IBDEC2012,6/1/2014,101.76
IBJAN2011,6/1/2014,107.16
IBFEB2011,6/1/2014,107.08
IBMAR2011,6/1/2014,106.96
IBAPR2011,6/1/2014,106.84
IBMAY2011,6/1/2014,107.00
IBJUN2011,6/1/2014,106.92
IBJUL2011,6/1/2014,106.8
IBAUG2011,6/1/2014,106.72
IBSEP2011,6/1/2014,106.60
IBOCT2011,6/1/2014,106.48
IBNOV2011,6/1/2014,104.56
IBDEC2011,6/1/2014,104.48
IBJAN2010,6/1/2014,110.96
IBFEB2010,6/1/2014,110.8
IBMAR2010,6/1/2014,110.68
IBAPR2010,6/1/2014,110.56
IBMAY2010,6/1/2014,109.04
IBJUN2010,6/1/2014,108.92
IBJUL2010,6/1/2014,108.8
IBAUG2010,6/1/2014,108.68
IBSEP2010,6/1/2014,108.56
IBOCT2010,6/1/2014,108.4
IBNOV2010,6/1/2014,107.40
IBDEC2010,6/1/2014,107.28
IBJAN2009,6/1/2014,116.64
IBFEB2009,6/1/2014,116.44
IBMAR2009,6/1/2014,116.28
IBAPR2009,6/1/2014,116.08
IBMAY2009,6/1/2014,110.76
IBJUN2009,6/1/2014,110.60
IBJUL2009,6/1/2014,110.12
IBAUG2009,6/1/2014,110.0
